image_path,file_name,split,folder_category,severity_score,target_class
Dataset\Gambo\Test\Corrected\1_1.png,1_1.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_10.png,1_10.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_100.png,1_100.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1000.png,1_1000.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1001.png,1_1001.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1002.png,1_1002.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1003.png,1_1003.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1004.png,1_1004.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1005.png,1_1005.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1006.png,1_1006.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1007.png,1_1007.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1008.png,1_1008.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1009.png,1_1009.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_101.png,1_101.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1010.png,1_1010.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1011.png,1_1011.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1012.png,1_1012.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1013.png,1_1013.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1014.png,1_1014.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1015.png,1_1015.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1016.png,1_1016.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1017.png,1_1017.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1018.png,1_1018.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1019.png,1_1019.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_102.png,1_102.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1020.png,1_1020.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1021.png,1_1021.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1022.png,1_1022.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1023.png,1_1023.png,Test,Corrected,1,1
Dataset\Gambo\Test\Corrected\1_1024.png,1_1024.png,Test,Corrected,1,1
