image_path,file_name,split,folder_category,severity_score,target_class
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00001.png,Test_Corrected_1_00001.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00002.png,Test_Corrected_1_00002.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00003.png,Test_Corrected_1_00003.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00004.png,Test_Corrected_1_00004.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00005.png,Test_Corrected_1_00005.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00006.png,Test_Corrected_1_00006.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00007.png,Test_Corrected_1_00007.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00008.png,Test_Corrected_1_00008.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00009.png,Test_Corrected_1_00009.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00010.png,Test_Corrected_1_00010.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00011.png,Test_Corrected_1_00011.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00012.png,Test_Corrected_1_00012.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00013.png,Test_Corrected_1_00013.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00014.png,Test_Corrected_1_00014.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00015.png,Test_Corrected_1_00015.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00016.png,Test_Corrected_1_00016.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00017.png,Test_Corrected_1_00017.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00018.png,Test_Corrected_1_00018.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00019.png,Test_Corrected_1_00019.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00020.png,Test_Corrected_1_00020.png,Test,Corrected,1,1
Dataset\Gambo_Balanced\Test\Corrected\Test_Corrected_1_00021.png,Test_Corrected_1_00021.png,Test,Corrected,1,1
