image_path,file_name,split,folder_category,severity_score,target_class
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1.png,Test_Corrected_1_1.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10.png,Test_Corrected_1_10.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_100.png,Test_Corrected_1_100.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1000.png,Test_Corrected_1_1000.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1001.png,Test_Corrected_1_1001.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10010.png,Test_Corrected_1_10010.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10016.png,Test_Corrected_1_10016.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10017.png,Test_Corrected_1_10017.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1002.png,Test_Corrected_1_1002.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1003.png,Test_Corrected_1_1003.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10032.png,Test_Corrected_1_10032.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1004.png,Test_Corrected_1_1004.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10045.png,Test_Corrected_1_10045.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1005.png,Test_Corrected_1_1005.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10050.png,Test_Corrected_1_10050.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10051.png,Test_Corrected_1_10051.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10053.png,Test_Corrected_1_10053.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1006.png,Test_Corrected_1_1006.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10061.png,Test_Corrected_1_10061.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10065.png,Test_Corrected_1_10065.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10074.png,Test_Corrected_1_10074.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10076.png,Test_Corrected_1_10076.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1008.png,Test_Corrected_1_1008.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10080.png,Test_Corrected_1_10080.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10083.png,Test_Corrected_1_10083.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10089.png,Test_Corrected_1_10089.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1009.png,Test_Corrected_1_1009.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10092.png,Test_Corrected_1_10092.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_101.png,Test_Corrected_1_101.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1010.png,Test_Corrected_1_1010.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10107.png,Test_Corrected_1_10107.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10109.png,Test_Corrected_1_10109.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10110.png,Test_Corrected_1_10110.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10112.png,Test_Corrected_1_10112.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10118.png,Test_Corrected_1_10118.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1012.png,Test_Corrected_1_1012.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10120.png,Test_Corrected_1_10120.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1013.png,Test_Corrected_1_1013.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1014.png,Test_Corrected_1_1014.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1015.png,Test_Corrected_1_1015.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10151.png,Test_Corrected_1_10151.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1016.png,Test_Corrected_1_1016.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10176.png,Test_Corrected_1_10176.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1018.png,Test_Corrected_1_1018.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10181.png,Test_Corrected_1_10181.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1019.png,Test_Corrected_1_1019.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10196.png,Test_Corrected_1_10196.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10197.png,Test_Corrected_1_10197.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1020.png,Test_Corrected_1_1020.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10200.png,Test_Corrected_1_10200.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10207.png,Test_Corrected_1_10207.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10208.png,Test_Corrected_1_10208.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1021.png,Test_Corrected_1_1021.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10213.png,Test_Corrected_1_10213.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1022.png,Test_Corrected_1_1022.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10220.png,Test_Corrected_1_10220.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10232.png,Test_Corrected_1_10232.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1024.png,Test_Corrected_1_1024.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10242.png,Test_Corrected_1_10242.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1025.png,Test_Corrected_1_1025.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10250.png,Test_Corrected_1_10250.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10256.png,Test_Corrected_1_10256.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1026.png,Test_Corrected_1_1026.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10267.png,Test_Corrected_1_10267.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10269.png,Test_Corrected_1_10269.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10274.png,Test_Corrected_1_10274.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1028.png,Test_Corrected_1_1028.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10282.png,Test_Corrected_1_10282.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10283.png,Test_Corrected_1_10283.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10288.png,Test_Corrected_1_10288.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1029.png,Test_Corrected_1_1029.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10291.png,Test_Corrected_1_10291.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10294.png,Test_Corrected_1_10294.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10297.png,Test_Corrected_1_10297.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_103.png,Test_Corrected_1_103.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1030.png,Test_Corrected_1_1030.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10303.png,Test_Corrected_1_10303.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10317.png,Test_Corrected_1_10317.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1032.png,Test_Corrected_1_1032.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10320.png,Test_Corrected_1_10320.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10325.png,Test_Corrected_1_10325.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10326.png,Test_Corrected_1_10326.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1033.png,Test_Corrected_1_1033.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1034.png,Test_Corrected_1_1034.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1035.png,Test_Corrected_1_1035.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10353.png,Test_Corrected_1_10353.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10358.png,Test_Corrected_1_10358.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1036.png,Test_Corrected_1_1036.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10365.png,Test_Corrected_1_10365.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1037.png,Test_Corrected_1_1037.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_1038.png,Test_Corrected_1_1038.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10380.png,Test_Corrected_1_10380.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10382.png,Test_Corrected_1_10382.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10385.png,Test_Corrected_1_10385.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10391.png,Test_Corrected_1_10391.png,Test,Corrected,1,1
Dataset\Gambo_Fixed\Test\Corrected\Test_Corrected_1_10398.png,Test_Corrected_1_10398.png,Test,Corrected,1,1
