image_path,file_name,split,folder_category,severity_score,target_class,original_parent,unique_filename
Dataset\Gambo\Test\Normal\F-12.png,F-12.png,Train,Normal,0,0,Test,Test_Normal_F-12.png
Dataset\Gambo\Test\Normal\K-137.png,K-137.png,Train,Normal,0,0,Test,Test_Normal_K-137.png
Dataset\Gambo\Test\Corrected\1_8386.png,1_8386.png,Train,Corrected,1,1,Test,Test_Corrected_1_8386.png
Dataset\Gambo\Test\Normal\E-72.png,E-72.png,Train,Normal,0,0,Test,Test_Normal_E-72.png
Dataset\Gambo\Train\Corrected\1_22016.png,1_22016.png,Train,Corrected,1,1,Train,Train_Corrected_1_22016.png
Dataset\Gambo\Train\Corrected\5_3125.png,5_3125.png,Train,Corrected,5,1,Train,Train_Corrected_5_3125.png
Dataset\Gambo\Train\Corrected\1_22095.png,1_22095.png,Train,Corrected,1,1,Train,Train_Corrected_1_22095.png
Dataset\Gambo\Train\Corrected\3_4563.png,3_4563.png,Train,Corrected,3,1,Train,Train_Corrected_3_4563.png
Dataset\Gambo\Train\Corrected\5_5360.png,5_5360.png,Train,Corrected,5,1,Train,Train_Corrected_5_5360.png
Dataset\Gambo\Test\Corrected\1_447.png,1_447.png,Train,Corrected,1,1,Test,Test_Corrected_1_447.png
Dataset\Gambo\Train\Normal\G-1865.png,G-1865.png,Train,Normal,0,0,Train,Train_Normal_G-1865.png
Dataset\Gambo\Test\Corrected\5_222.png,5_222.png,Train,Corrected,5,1,Test,Test_Corrected_5_222.png
Dataset\Gambo\Train\Corrected\4_1124.png,4_1124.png,Train,Corrected,4,1,Train,Train_Corrected_4_1124.png
Dataset\Gambo\Train\Corrected\1_33600.png,1_33600.png,Train,Corrected,1,1,Train,Train_Corrected_1_33600.png
Dataset\Gambo\Test\Reversal\6_3984.png,6_3984.png,Train,Reversal,6,1,Test,Test_Reversal_6_3984.png
Dataset\Gambo\Test\Reversal\6_775.png,6_775.png,Train,Reversal,6,1,Test,Test_Reversal_6_775.png
Dataset\Gambo\Train\Reversal\6_30524.png,6_30524.png,Train,Reversal,6,1,Train,Train_Reversal_6_30524.png
Dataset\Gambo\Train\Reversal\6_30421.png,6_30421.png,Train,Reversal,6,1,Train,Train_Reversal_6_30421.png
Dataset\Gambo\Test\Normal\P-22.png,P-22.png,Train,Normal,0,0,Test,Test_Normal_P-22.png
Dataset\Gambo\Test\Corrected\1_7504.png,1_7504.png,Train,Corrected,1,1,Test,Test_Corrected_1_7504.png
Dataset\Gambo\Train\Corrected\2_3215.png,2_3215.png,Train,Corrected,2,1,Train,Train_Corrected_2_3215.png
Dataset\Gambo\Train\Normal\C-895.png,C-895.png,Train,Normal,0,0,Train,Train_Normal_C-895.png
Dataset\Gambo\Test\Reversal\6_1764.png,6_1764.png,Train,Reversal,6,1,Test,Test_Reversal_6_1764.png
Dataset\Gambo\Train\Corrected\4_357.png,4_357.png,Train,Corrected,4,1,Train,Train_Corrected_4_357.png
Dataset\Gambo\Train\Corrected\1_16957.png,1_16957.png,Train,Corrected,1,1,Train,Train_Corrected_1_16957.png
Dataset\Gambo\Train\Reversal\6_19159.png,6_19159.png,Train,Reversal,6,1,Train,Train_Reversal_6_19159.png
Dataset\Gambo\Test\Reversal\6_796.png,6_796.png,Train,Reversal,6,1,Test,Test_Reversal_6_796.png
Dataset\Gambo\Train\Corrected\1_30429.png,1_30429.png,Train,Corrected,1,1,Train,Train_Corrected_1_30429.png
Dataset\Gambo\Test\Normal\M-350.png,M-350.png,Train,Normal,0,0,Test,Test_Normal_M-350.png
Dataset\Gambo\Train\Reversal\6_30624.png,6_30624.png,Train,Reversal,6,1,Train,Train_Reversal_6_30624.png
Dataset\Gambo\Train\Reversal\6_25611.png,6_25611.png,Train,Reversal,6,1,Train,Train_Reversal_6_25611.png
Dataset\Gambo\Train\Reversal\6_11592.png,6_11592.png,Train,Reversal,6,1,Train,Train_Reversal_6_11592.png
Dataset\Gambo\Train\Corrected\1_2044.png,1_2044.png,Train,Corrected,1,1,Train,Train_Corrected_1_2044.png
Dataset\Gambo\Train\Normal\J-2048.png,J-2048.png,Train,Normal,0,0,Train,Train_Normal_J-2048.png
Dataset\Gambo\Test\Corrected\1_8064.png,1_8064.png,Train,Corrected,1,1,Test,Test_Corrected_1_8064.png
Dataset\Gambo\Train\Reversal\6_10292.png,6_10292.png,Train,Reversal,6,1,Train,Train_Reversal_6_10292.png
Dataset\Gambo\Train\Corrected\1_12238.png,1_12238.png,Train,Corrected,1,1,Train,Train_Corrected_1_12238.png
Dataset\Gambo\Train\Normal\L-1208.png,L-1208.png,Train,Normal,0,0,Train,Train_Normal_L-1208.png
Dataset\Gambo\Train\Reversal\6_15284.png,6_15284.png,Train,Reversal,6,1,Train,Train_Reversal_6_15284.png
Dataset\Gambo\Train\Normal\H-2494.png,H-2494.png,Train,Normal,0,0,Train,Train_Normal_H-2494.png
Dataset\Gambo\Train\Corrected\1_23731.png,1_23731.png,Train,Corrected,1,1,Train,Train_Corrected_1_23731.png
Dataset\Gambo\Test\Corrected\4_952.png,4_952.png,Train,Corrected,4,1,Test,Test_Corrected_4_952.png
Dataset\Gambo\Test\Normal\Z-397.png,Z-397.png,Train,Normal,0,0,Test,Test_Normal_Z-397.png
