image_path,file_name,split,folder_category,severity_score,target_class,ink_density,center_of_mass_x,center_of_mass_y,bounding_box_ratio,stroke_transitions
Dataset\Gambo\Train\Normal\L-1542.png,L-1542.png,Train,Normal,0,0,0.11352,9.4045,16.8989,1.0,1.6429
Dataset\Gambo\Train\Corrected\1_10510.png,1_10510.png,Train,Corrected,1,1,0.117347,11.8043,13.6739,0.9444,1.5714
Dataset\Gambo\Train\Normal\A-1671.png,A-1671.png,Train,Normal,0,0,0.140306,14.7,13.3818,1.4286,2.4286
Dataset\Gambo\Train\Corrected\6_3057.png,6_3057.png,Train,Corrected,6,1,0.135204,13.1604,13.9811,1.4615,2.4286
Dataset\Gambo\Train\Corrected\3_6299.png,3_6299.png,Train,Corrected,3,1,0.127551,11.45,12.72,0.7368,2.1429
Dataset\Gambo\Train\Normal\I-1035.png,I-1035.png,Train,Normal,0,0,0.128827,14.5545,13.9703,1.0,1.5714
Dataset\Gambo\Train\Normal\J-1841.png,J-1841.png,Train,Normal,0,0,0.133929,12.5524,11.5619,0.9,1.5
Dataset\Gambo\Train\Corrected\5_3172.png,5_3172.png,Train,Corrected,5,1,0.163265,12.4688,14.1328,1.0,1.7143
Dataset\Gambo\Train\Corrected\1_35525.png,1_35525.png,Train,Corrected,1,1,0.098214,12.0649,13.3896,0.6842,1.7143
Dataset\Gambo\Train\Reversal\6_20693.png,6_20693.png,Train,Reversal,6,1,0.133929,15.4952,15.819,1.0526,1.5
Dataset\Gambo\Train\Reversal\6_25057.png,6_25057.png,Train,Reversal,6,1,0.13648,14.3084,10.4673,1.1176,1.5
Dataset\Gambo\Train\Corrected\1_29541.png,1_29541.png,Train,Corrected,1,1,0.141582,10.6577,14.7207,1.0526,2.2857
Dataset\Gambo\Train\Corrected\3_849.png,3_849.png,Train,Corrected,3,1,0.154337,10.843,11.5785,0.9474,2.0
Dataset\Gambo\Train\Normal\K-2098.png,K-2098.png,Train,Normal,0,0,0.109694,12.3372,13.4535,1.25,1.9286
Dataset\Gambo\Train\Normal\K-1099.png,K-1099.png,Train,Normal,0,0,0.093112,12.863,14.3151,1.1111,2.3571
Dataset\Gambo\Train\Corrected\1_34522.png,1_34522.png,Train,Corrected,1,1,0.112245,13.6364,14.3977,1.0,2.6429
